rpm,speed,throttle_pos,engine_load,map_kpa,iat,coolant_temp,o2_voltage,fuel_trim,ltft,voltage,gear,clutch,side_stand,front_wheel_speed,rear_wheel_speed,target_label,rul_hours,failure_probability
914.5,0.0,2.4,37.0,64.5,29.6,94.0,0.167,22.06,13.26,13.87,0,0,0,0.0,0.0,2,42.6,0.7765
4232.3,64.5,53.3,78.4,98.0,31.0,89.6,0.094,23.09,16.34,13.74,3,0,0,64.5,64.1,2,54.9,0.7074
1062.6,0.0,2.3,30.2,32.8,29.9,87.7,0.747,0.84,1.04,14.1,0,0,0,0.0,0.0,0,1433.3,0.0309
2535.2,30.7,16.7,48.2,48.6,38.7,82.7,0.761,1.41,1.37,14.16,2,0,0,30.7,30.6,0,1334.3,0.0403
2797.6,33.2,6.9,50.5,50.6,37.6,87.4,0.189,1.85,1.09,14.09,2,0,0,33.2,32.8,0,1022.9,0.0377
2930.2,34.6,10.7,51.9,52.5,33.8,81.3,0.349,2.97,-0.53,14.39,2,0,0,34.6,34.7,0,1209.9,0.0717
850.0,0.0,2.1,34.4,60.9,36.7,94.4,0.068,19.29,14.09,14.14,0,0,0,0.0,0.0,2,23.5,0.7962
850.0,0.0,2.0,34.2,63.7,28.9,95.2,0.061,22.5,11.47,14.26,0,0,1,0.0,0.0,2,75.8,0.7249
2491.0,39.8,13.2,51.3,53.2,30.6,88.9,0.326,2.85,1.81,14.03,3,0,0,39.8,39.1,0,1278.4,0.0394
1036.9,0.0,2.0,31.9,35.6,30.0,86.9,0.346,1.31,2.3,13.97,0,0,0,0.0,0.0,0,1311.2,0.0794
3201.1,82.5,22.3,55.9,59.5,31.5,86.6,0.272,2.96,0.8,14.34,5,0,0,82.5,82.6,0,1400.8,0.0405
1047.5,0.0,2.1,36.6,34.3,37.5,91.2,0.303,3.27,1.24,14.11,0,0,0,0.0,0.0,0,896.7,0.061
1070.6,0.0,2.2,32.7,34.1,32.6,90.5,0.318,4.12,1.98,14.02,0,0,0,0.0,0.0,0,811.8,0.0373
1064.9,0.0,2.3,32.7,32.5,35.3,84.7,0.808,-0.72,0.82,14.06,0,0,0,0.0,0.0,0,1269.5,0.0141
5017.1,104.3,71.4,82.2,83.6,27.8,90.3,0.434,-1.95,0.66,10.27,4,0,0,104.3,106.1,3,13.6,0.9118
2261.8,17.3,20.3,57.3,58.7,36.9,89.9,0.707,1.36,1.44,14.25,1,0,0,17.3,17.4,0,1236.8,0.0569
2987.7,48.0,10.8,32.1,34.3,33.8,89.2,0.844,1.24,2.92,14.31,3,0,0,48.0,48.8,0,1035.5,0.0225
3892.0,83.3,19.3,56.8,61.0,45.2,112.6,0.889,8.72,3.34,13.96,4,0,0,83.3,83.9,1,63.2,0.8355
2663.2,20.5,17.1,40.8,44.8,32.1,82.4,0.18,2.88,0.19,14.24,1,0,0,20.5,20.3,0,842.9,0.0788
1016.3,0.0,2.0,31.0,31.8,31.2,84.4,0.478,1.43,0.05,11.45,0,0,0,0.0,0.0,3,12.7,0.9307
3604.4,94.9,30.5,62.6,62.7,30.9,83.4,0.601,-0.35,4.33,10.24,5,0,0,94.9,95.2,3,18.2,0.8644
1073.6,0.0,2.5,34.1,35.0,30.9,86.9,0.826,1.35,2.36,14.15,0,0,1,0.0,0.0,0,1405.6,0.036
2489.6,31.0,16.7,40.7,39.5,39.5,85.8,0.871,6.17,0.48,14.02,2,0,0,31.0,31.2,0,1149.3,0.0388
3021.7,78.3,21.0,52.6,53.2,31.1,89.7,0.294,1.99,1.64,14.21,5,0,0,78.3,79.4,0,1496.9,0.0182
2407.6,28.4,6.9,51.7,54.6,33.1,87.6,0.287,2.81,0.83,13.91,2,0,0,28.4,28.7,0,1152.0,0.0717
2771.3,33.4,7.0,47.5,45.7,33.4,90.3,0.321,0.25,2.01,14.19,2,0,0,33.4,33.8,0,768.3,0.0411
2606.3,33.7,17.3,44.1,45.1,42.7,109.3,0.659,9.08,3.62,13.88,2,0,0,33.7,33.3,1,19.3,0.8947
3998.6,48.1,60.9,79.9,80.4,33.8,85.0,0.242,2.04,1.79,14.38,2,0,0,48.1,47.5,0,1331.7,0.0668
3253.3,84.6,27.0,64.4,64.6,31.0,91.9,0.842,0.67,1.81,13.96,5,0,0,84.6,82.9,0,1240.3,0.0484
2048.1,24.3,11.8,45.1,44.9,26.9,87.1,0.807,-1.73,2.76,14.2,2,0,0,24.3,24.7,0,993.6,0.0245
3649.9,77.0,27.8,50.7,52.6,29.1,84.4,0.409,4.03,1.66,9.91,4,0,0,77.0,77.7,3,10.8,0.8293
1031.9,0.0,2.1,29.7,29.6,39.4,85.3,0.213,1.05,0.64,14.12,0,0,0,0.0,0.0,0,1087.2,0.0591
3032.5,78.8,18.0,61.4,61.7,27.2,86.6,0.74,-0.34,1.35,14.28,5,0,0,78.8,79.8,0,1368.5,0.0113
1046.8,0.0,1.9,34.0,33.1,36.4,90.1,0.817,2.64,0.62,13.97,0,0,0,0.0,0.0,0,717.9,0.022
1024.6,0.0,2.2,33.8,35.3,35.6,86.3,0.672,1.66,0.63,11.28,0,0,0,0.0,0.0,3,35.2,0.8499
2341.3,21.8,7.0,48.9,47.0,27.8,84.8,0.212,1.95,1.23,14.13,1,0,0,21.8,21.9,0,1170.7,0.0493
2616.6,31.5,16.0,51.0,52.1,46.9,110.5,0.755,6.2,3.76,13.88,2,0,0,31.5,31.3,1,36.9,0.7934
3896.1,80.4,20.6,58.5,80.4,31.7,87.7,0.148,19.52,11.02,14.04,4,0,0,80.4,80.3,2,83.2,0.6713
1023.9,0.0,1.9,37.0,36.0,29.1,81.8,0.283,0.56,0.63,14.09,0,0,1,0.0,0.0,0,889.5,0.0586
1076.4,0.0,2.3,37.0,36.4,47.1,110.0,0.735,6.43,6.01,13.66,0,0,0,0.0,0.0,1,25.8,0.7428
1029.5,0.0,2.3,37.9,36.9,26.8,86.2,0.282,1.05,0.74,13.97,0,0,0,0.0,0.0,0,1421.2,0.0222
2566.0,43.3,18.8,57.3,57.5,37.2,118.3,0.745,10.22,4.81,13.9,3,0,0,43.3,43.4,1,64.2,0.7952
1058.7,0.0,2.0,32.9,31.8,41.3,121.7,0.758,9.56,3.65,13.81,0,0,0,0.0,0.0,1,16.4,0.825
3631.3,44.7,54.8,76.9,74.8,36.1,89.6,0.81,4.72,1.15,14.33,2,0,0,44.7,44.5,0,1385.1,0.0317
4045.2,89.1,20.5,60.7,65.4,30.8,86.9,0.328,-0.22,2.25,14.15,4,0,0,89.1,89.7,0,781.9,0.0192
1509.9,0.0,2.1,36.0,67.0,30.2,99.1,0.168,22.36,15.99,14.15,0,0,0,0.0,0.0,2,43.3,0.8676
4515.2,48.5,63.8,78.1,78.3,36.9,91.5,0.274,3.75,0.87,14.31,2,0,0,48.5,48.6,0,744.0,0.0224
2356.1,28.5,16.4,33.1,34.7,32.3,87.7,0.818,2.64,1.13,14.09,2,0,0,28.5,28.5,0,864.0,0.058
3770.5,40.5,58.9,79.0,79.2,29.8,86.1,0.181,3.86,0.82,14.23,2,0,0,40.5,40.7,0,1410.6,0.0371
2879.3,47.1,8.8,46.9,44.3,37.5,85.5,0.786,3.2,2.95,14.18,3,0,0,47.1,46.9,0,1072.5,0.08
2523.7,18.3,20.0,40.5,40.1,36.4,112.5,0.761,5.24,4.82,13.85,1,0,0,18.3,18.5,1,52.3,0.8853
3412.8,86.5,28.8,59.9,59.7,28.8,87.1,0.866,4.72,2.01,14.13,5,0,0,86.5,87.3,0,1456.6,0.0623
2031.9,22.2,20.8,41.7,42.8,30.1,91.9,0.79,2.07,1.08,14.25,2,0,0,22.2,22.6,0,1037.9,0.0192
2710.1,33.0,10.2,45.1,46.4,39.1,89.4,0.304,0.61,1.25,14.1,2,0,0,33.0,32.5,0,851.1,0.0631
1079.4,0.0,2.2,26.9,29.8,42.6,114.1,0.784,7.62,4.9,13.71,0,0,0,0.0,0.0,1,40.3,0.9525
1066.0,0.0,2.0,31.4,32.2,29.9,82.3,0.791,-1.64,0.61,14.06,0,0,0,0.0,0.0,0,1156.1,0.0179
3022.6,78.8,26.2,59.3,57.9,34.7,109.2,0.847,5.77,5.2,13.9,5,0,0,78.8,77.4,1,53.1,0.8662
999.0,0.0,2.5,36.1,34.2,39.0,83.4,0.701,3.15,2.05,13.96,0,0,0,0.0,0.0,0,1146.0,0.0551
3536.5,93.2,19.1,70.6,73.0,35.9,82.1,0.504,-0.48,2.01,10.47,5,0,0,93.2,92.4,3,39.9,0.8843
3226.0,68.8,14.5,61.6,60.7,39.7,91.0,0.868,1.38,-0.02,14.09,4,0,0,68.8,68.2,0,1127.4,0.0311
2006.3,27.9,21.9,50.5,47.7,32.8,87.9,0.192,0.13,0.22,14.15,2,0,0,27.9,28.0,0,1079.8,0.0177
4150.2,68.0,58.6,84.0,84.5,31.7,89.0,0.259,-0.34,0.96,14.27,3,0,0,68.0,67.1,0,1389.6,0.0379
3437.2,91.9,16.1,58.4,59.9,31.7,85.0,0.268,0.56,0.13,10.1,5,0,0,91.9,92.1,3,30.9,0.9492
4243.3,70.3,56.4,87.1,98.0,34.9,98.5,0.193,22.13,12.3,14.19,3,0,0,70.3,69.3,2,97.5,0.9032
1467.6,23.8,13.8,52.9,51.9,31.5,85.2,0.819,0.48,0.9,14.11,3,0,0,23.8,23.6,0,1496.4,0.011
3024.7,66.1,29.6,59.8,58.4,39.9,109.2,0.877,7.71,4.57,14.14,4,0,0,66.1,65.5,1,16.5,0.815
1013.4,0.0,2.2,32.5,59.8,30.4,87.2,0.087,19.27,13.85,14.01,0,0,0,0.0,0.0,2,79.9,0.7152
2558.3,20.1,17.0,44.6,44.8,27.9,92.4,0.227,0.91,1.8,14.18,1,0,0,20.1,19.9,0,1437.5,0.0654
1670.4,15.1,9.4,48.6,48.5,31.7,89.0,0.265,2.07,1.09,14.23,1,0,0,15.1,15.0,0,905.7,0.0533
2646.2,70.0,15.4,55.8,55.1,37.4,88.5,0.811,-2.66,0.49,14.06,5,0,0,70.0,68.7,0,1064.9,0.0127
2555.6,30.5,17.6,48.6,49.5,32.7,85.4,0.82,-0.41,2.94,14.17,2,0,0,30.5,30.9,0,1437.5,0.0125
2199.7,41.7,18.9,46.6,67.8,30.7,93.2,0.134,17.42,13.15,14.15,3,0,0,41.7,42.5,2,109.4,0.669
3236.7,83.7,32.1,57.0,57.1,35.0,86.8,0.239,1.41,1.07,11.1,5,0,0,83.7,84.5,3,40.8,0.9896
3138.4,79.9,28.9,63.7,61.1,47.7,118.8,0.786,3.44,2.27,13.87,5,0,0,79.9,80.8,1,59.3,0.935
1074.8,0.0,1.9,29.8,31.8,27.7,84.4,0.327,1.26,0.49,14.08,0,0,1,0.0,0.0,0,721.8,0.0487
